,06 TOURISM-RELATED SERVICES,,,,,,,,,,,,,,,,,,07 SECURITY AND SAFETY ,,,,,,,,,,,,08 ECONOMIC PERFORMANCE,,,,,,,,,09 TOURISM PROMOTION,,,,,,10 GOVERNMENTAL INVOLVEMENT AND EFFICIENCY,,,,
Tipo de variable,VA,VA,VI,VI,VI,VA,VA,VI,VP,VP,VP,VP,VPP,VPP,VPP,VPP,VPP,VPP,VA,VA,VA,VA,VI,VA,VP,VP,VP,VPP,VPP,VPP,VI,VA,VA,VP,VP,VP,VP,VPP,VPP,VP,VP,VP,VP,VP,VPP,VPP,VPP,VPP,VPP,VPP
Regions,"Density of restaurants per 100,000 habitants","People working at restaurants per 10,000 habitants",Car rental agencies,"Hospital beds per 10,000 habitants","Density of ATM machines per 100,000 habitants",Spas,"Casinos per 100,000 habitants",Golf courses,Artwork Centers,"Density of tourist guides per 100,000 habitants",Thermal centers,"Density of sports centers per 10,000 habitants",Ski resorts,Major shopping centers,"Phone service penetration pero 1,000 habitants",Density of service stations,Number of certified tourism-operators,Number of vineyards,Percentage of crime perception,Percentage of homes with at least one crime victim per year,Density of murders per one million habitants,Density of public health complaints per one million habitants,Crime index,Allocated budget for public safety (millions of chilean pesos),Porcentage of homes that reported at least one crime,Number of reported crimes,Number of crimes investigated and resolved,Number of accidents (roads; air; water),Illegal commerce,Number of police units,Unemployment rate,Poverty rate,Industrial and Intellectual property crimes,Yearly strikes,Average length of strikes,Estimated daily cost per individual participating on a strike,Banks per one million habitants,Temporary residents,Exports (volume in million chilean pesos),Density of tourism offices per one million habitants,Number of tourism information offices,Average number of internet searches for main tourist attractions,Yearly budget for tourism promotion ($M),Yearly budget for international tourism promotion ($M),Governmental resources allocated to tourism promotion ($M),Public infrastructure investments related to the tourism sector ($),Entrepreneurial and Innovation funds allocated to tourism related projects ($),Seed funds allocated to the tourism sector ($),Governmental funds devoted to tourism development ($),Number of regional strategy plans for tourism development
Arica y Parinacota ,35.857,19.563,12,21.619,43.766,0,5.273,1,20,20.038,5,0, -   , -   ,240.55,17,6, -   ,0.318,0.26,42.184,15.819,0.513,"11,884,613",0.426,"26,467","2,387",981,319,265,7.3,8.2,84.369,1,11,253,94.915,"45,560",137,5.273,"6,517","1,060,490","193,364","118,413","92,641","36,370,835","11,757,543","446,922","24,729,573",1
Tarapac芍 ,25.947,26.616,2,18.958,60.264,0,4.185,3,9,22.18,5,40.134, -   ,2,213.07,28,0, -   ,0.421,0.468,87.884,0,0.516,"14,740,693",0.398,"76,896","1,862","1,105",593,592,4.8,13.4,485.457,6,14.9,"59,745",138.104,"83,265","3,236",4.185,"7,600","1,750,481","74,404","13,600", -   ,"42,364,100","12,796,789","355,208","29,714,382",2
Antofagasta ,37.248,35.446,22,29.96,69.233,3,4.049,3,36,20.446,2,14.292, -   ,3,259.23,39,2, -   ,0.546,0.314,109.315,0,0.381,"22,383,612",0.495,"123,017","4,228","2,324",7,765,6.2,7.3,12.146,13,9.6,"30,220",178.143,"238,010","16,666",4.049,"16,280","2,846,340","200,000","149,000","149,744","38,262,875","29,066,423","192,572","50,841,622",1
Atacama ,44.823,26.933,19,25.478,56.225,1,3.932,1,9,18.479,3,32.437, -   , -   ,184.01,35,1, -   ,0.39,0.197,66.841,0,0.488,"17,068,077",0.533,"21,705","3,125",965,14,504,6.4,10.2,15.727,3,29.3,"17,860",145.477,"53,046","3,456",3.932,"11,614","556,668","94,100","187,035", -   ,"35,948,639","16,986,593","233,225","30,224,699",2
Coquimbo ,37.632,25.165,9,17.805,47.745,3,3.316,3,13,6.963,3,14.091, -   ,1,150.06,72,3, -   ,0.288,0.218,155.833,0,0.396,"20,225,710",0.449,"69,974","4,203","1,831",100,"1,082",6,12.3,11.605,3,29,"1,431",112.73,"275,447","2,229",1.658,"11,056","5,364,222","189,900","72,917", -   ,"64,917,630","33,222,779","673,800","44,790,979",3
Valpara赤so,52.408,47.05,16,27.756,55.85,9,1.948,12,44,12.209,3,18.71,2,8,230.65,179,3,5,0.311,0.291,87.671,1.948,0.432,"24,137,492",0.445,"236,177","19,176","6,765",166,"2,761",7.5,11.6,50.654,10,10.7,"16,641",143.52,"1,557,887","4,287",1.299,"5,649","3,058,423","129,481","63,996","1,079,295","101,802,434","24,239,428","811,772","51,647,041",1
Metropolitana,9.223,16.914,47,25.508,65.499,0,0,21,42,4.834,4,14.717,5,33,331.61,507,39,1,0.372,0.295,65.334,0.66,0.47,"60,400,444",0.424,"1,146,510","53,517","23,242","7,605","9,385",7.7,8.8,39.596,102,12.3,"147,198",1295.113,"7,307,884","6,196",0.33,"19,352","13,709,951","56,982", -   , -   ,"230,562,951","43,552,270","62,052","90,875,903",1
O'Higgins ,18.959,49.422,6,19.946,43.427,0,2.562,3,39,9.992,2,14.95,1,2,117.3,114,3,7,0.203,0.22,51.241,0,0.396,"18,182,163",0.477,"111,020","4,894","2,451",762,"1,136",6,9.9,11.529,7,10.2,"26,831",95.805,"265,601","3,056",1.281,"4,700","754,000","179,000","6,000","345,000","50,200,910","17,850,727","444,491","43,045,390",1
