,Region,"Density of restaurants per 100,000 habitants","People working at restaurants per 10,000 habitants",Car rental agencies,"Hospital beds per 10,000 habitants","Density of ATM machines per 100,000 habitants",Spas,"Casinos per 100,000 habitants",Golf courses,Artwork Centers,"Density of tourist guides per 100,000 habitants",Thermal centers,"Density of sports centers per 10,000 habitants","Phone service penetration pero 1,000 habitants",Density of service stations,Number of certified tourism-operators,Percentage of crime perception,Percentage of homes with at least one crime victim per year,Density of murders per one million habitants,Density of public health complaints per one million habitants,Crime index,Allocated budget for public safety (millions of chilean pesos),Porcentage of homes that reported at least one crime,Number of reported crimes,Number of crimes investigated and resolved,Number of accidents (roads; air; water),Illegal commerce,Number of police units,Unemployment rate,Poverty rate,Industrial and Intellectual property crimes,Yearly strikes,Average length of strikes,Estimated daily cost per individual participating on a strike,Banks per one million habitants,Temporary residents,Exports (volume in million chilean pesos),Density of tourism offices per one million habitants,Number of tourism information offices,Average number of internet searches for main tourist attractions,Yearly budget for tourism promotion ($M),Yearly budget for international tourism promotion ($M),Public infrastructure investments related to the tourism sector ($),Entrepreneurial and Innovation funds allocated to tourism related projects ($),Seed funds allocated to the tourism sector ($),Governmental funds devoted to tourism development ($),Number of regional strategy plans for tourism development
0,Arica y Parinacota ,35.857,19.563,12.0,21.619,43.766000000000005,0.0,5.273,1.0,20.0,20.038,5.0,0.0,240.55,17.0,6.0,0.318,0.26,42.184,15.819,0.513,11884613.0,0.426,26467.0,2387.0,981.0,319.0,265.0,7.3,8.2,84.369,1.0,11.0,253.0,94.915,45560.0,137.0,5.273,6517.0,1060490.0,193364.0,118413.0,36370835.0,11757543.0,446922.0,24729573.0,1.0
1,Tarapac¨¢ ,25.947,26.616,2.0,18.958,60.263999999999996,0.0,4.185,3.0,9.0,22.18,5.0,40.134,213.07,28.0,0.0,0.42100000000000004,0.46799999999999997,87.884,0.0,0.516,14740693.0,0.39799999999999996,76896.0,1862.0,1105.0,593.0,592.0,4.8,13.4,485.457,6.0,14.9,59745.0,138.10399999999998,83265.0,3236.0,4.185,7600.0,1750481.0,74404.0,13600.0,42364100.0,12796789.0,355208.0,29714382.0,2.0
2,Antofagasta ,37.248000000000005,35.446,22.0,29.96,69.233,3.0,4.0489999999999995,3.0,36.0,20.445999999999998,2.0,14.292,259.23,39.0,2.0,0.546,0.314,109.315,0.0,0.381,22383612.0,0.495,123017.0,4228.0,2324.0,7.0,765.0,6.2,7.3,12.145999999999999,13.0,9.6,30220.0,178.143,238010.0,16666.0,4.0489999999999995,16280.0,2846340.0,200000.0,149000.0,38262875.0,29066423.0,192572.0,50841622.0,1.0
3,Atacama ,44.823,26.933000000000003,19.0,25.478,56.225,1.0,3.932,1.0,9.0,18.479,3.0,32.437,184.01,35.0,1.0,0.39,0.19699999999999998,66.84100000000001,0.0,0.488,17068077.0,0.5329999999999999,21705.0,3125.0,965.0,14.0,504.0,6.4,10.2,15.727,3.0,29.3,17860.0,145.477,53046.0,3456.0,3.932,11614.0,556668.0,94100.0,187035.0,35948639.0,16986593.0,233225.0,30224699.0,2.0
4,Coquimbo ,37.632,25.165,9.0,17.805,47.745,3.0,3.3160000000000003,3.0,13.0,6.962999999999999,3.0,14.091,150.06,72.0,3.0,0.28800000000000003,0.218,155.833,0.0,0.396,20225710.0,0.449,69974.0,4203.0,1831.0,100.0,1082.0,6.0,12.3,11.605,3.0,29.0,1431.0,112.73,275447.0,2229.0,1.6580000000000001,11056.0,5364222.0,189900.0,72917.0,64917630.0,33222779.0,673800.0,44790979.0,3.0
5,Valpara¨ªso,52.408,47.05,16.0,27.756,55.85,9.0,1.9480000000000002,12.0,44.0,12.209000000000001,3.0,18.71,230.65,179.0,3.0,0.311,0.29100000000000004,87.671,1.9480000000000002,0.432,24137492.0,0.445,236177.0,19176.0,6765.0,166.0,2761.0,7.5,11.6,50.653999999999996,10.0,10.7,16641.0,143.52,1557887.0,4287.0,1.2990000000000002,5649.0,3058423.0,129481.0,63996.0,101802434.0,24239428.0,811772.0,51647041.0,1.0
6,Metropolitana,9.222999999999999,16.914,47.0,25.508000000000003,65.499,0.0,0.0,21.0,42.0,4.834,4.0,14.717,331.61,507.0,39.0,0.37200000000000005,0.295,65.334,0.66,0.47,60400444.0,0.424,1146510.0,53517.0,23242.0,7605.0,9385.0,7.7,8.8,39.596,102.0,12.3,147198.0,1295.113,7307884.0,6196.0,0.33,19352.0,13709951.0,56982.0,128705.92857142857,230562951.0,43552270.0,62052.0,90875903.0,1.0
7,O'Higgins ,18.959,49.422,6.0,19.945999999999998,43.427,0.0,2.562,3.0,39.0,9.992,2.0,14.95,117.3,114.0,3.0,0.203,0.22,51.24100000000001,0.0,0.396,18182163.0,0.47700000000000004,111020.0,4894.0,2451.0,762.0,1136.0,6.0,9.9,11.529000000000002,7.0,10.2,26831.0,95.805,265601.0,3056.0,1.281,4700.0,754000.0,179000.0,6000.0,50200910.0,17850727.0,444491.0,43045390.0,1.0
8,Maule ,15.637,19.942999999999998,10.0,23.851999999999997,35.899,9.0,1.101,1.0,24.0,8.7,5.0,25.383000000000003,109.73,130.0,0.0,0.245,0.22699999999999998,27.53,1.101,0.427,25936948.0,0.53,124820.0,6018.0,4771.0,194.0,1875.0,6.4,15.8,11.012,5.0,10.7,1371.0,48.346000000000004,165417.0,1311.0,1.101,7183.0,647510.0,168850.0,8000.0,97730159.0,19292650.0,486500.0,48826193.0,2.0
9,Biob¨ªo ,14.128,14.004000000000001,16.0,27.16,38.194,2.0,1.6119999999999999,6.0,26.0,1.6119999999999999,3.0,20.531,162.84,211.0,1.0,0.36,0.31,63.925,0.0,0.42,41208340.0,0.41,292281.0,19222.0,5713.0,37.0,3193.0,7.9,15.8,12.892000000000001,12.0,11.8,15518.0,188.607,305920.0,4475.0,1.074,7362.0,3548528.0,317000.0,44000.0,137998425.0,28228357.0,1646127.0,88172439.0,3.0
10,Araucan¨ªa ,15.985999999999999,15.687000000000001,25.0,25.886999999999997,40.826,23.0,2.3,2.0,16.0,9.085,13.0,22.736,135.88,118.0,5.0,0.381,0.28800000000000003,78.203,1.15,0.369,29000528.0,0.469,140063.0,8685.0,3161.0,323.0,1550.0,8.0,18.1,20.701,4.0,30.3,5856.0,232.887,395583.0,372.0,1.15,9488.0,1842375.0,108799.0,27507.0,67212297.0,31050589.0,552127.5,54529735.0,2.0
11,Los R¨ªos ,34.512,26.206999999999997,9.0,30.471999999999998,42.648999999999994,2.0,2.806,1.0,40.0,8.698,12.0,0.0,191.32,44.0,1.0,0.27399999999999997,0.27,101.01100000000001,0.0,0.298,15834434.0,0.44,22076.0,3235.0,818.0,29.0,773.0,6.4,14.3,11.222999999999999,4.0,11.3,6171.0,51.623000000000005,71200.0,71.0,2.806,7109.0,1476220.0,253292.0,35000.0,49376288.0,22065484.0,486875.0,32409855.0,1.0
12,Los Lagos ,36.415,27.36,24.0,22.644000000000002,47.298,2.0,4.186,2.0,27.0,20.928,8.0,25.728,162.58,86.0,6.0,0.32299999999999995,0.201,104.641,0.0,0.374,19901362.0,0.426,85949.0,8729.0,2023.0,192.0,1409.0,3.5,11.8,23.719,2.0,8.0,2160.0,994.622,122157.0,2251.0,4.186,4708.0,7108761.0,264511.0,96915.0,101170739.0,40816121.0,737875.0,62581190.0,2.0
13,Ays¨¦n ,76.509,40.986999999999995,15.0,27.543000000000003,43.72,0.0,10.93,0.0,57.0,67.765,4.0,24.264,170.81,20.0,0.0,0.35100000000000003,0.256,174.87900000000002,10.93,0.41764285714285704,15972532.0,0.445,14119.0,3349.0,422.0,795.4615384615385,469.0,4.4,5.2,32.79,1.0,7.0,1953.0,106.083,13667.0,379.0,10.93,5660.0,200654.0,65000.0,454500.0,32558406.0,13692259.0,794614.0,29462726.0,2.0
14,Magallanes y Ant¨¢rtica ,59.008,59.34,12.0,34.676,71.60600000000001,0.0,13.26,1.0,15.0,137.244,0.0,18.366,297.25,21.0,3.0,0.28300000000000003,0.18,53.041000000000004,6.63,0.367,20075842.0,0.414,8659.0,2527.0,660.0,795.4615384615385,216.0,5.4,6.1,86.19200000000001,1.0,22.0,616.0,5.115,322800.0,397.0,13.26,4217.0,558678.0,266000.0,525000.0,30955753.0,18036736.0,357752.0,30288105.0,1.0
