Region,Ranking 1,Ranking 2,Ranking 3,Ranking 4,Ranking 5,Ranking 6,Ranking 7,Ranking 8,Ranking 9,Ranking 10,Overall Ranking Score,Overall Ranking
Arica y Parinacota ,-0.41595202839894485,0.08405396123866236,-0.2274403696387044,-0.1420922352234481,0.07472942565440457,-0.21956206659706712,-0.4316069281051874,-0.2189635372350998,-0.12744857217460803,-0.1933579115768186,-1.8176402620568113,10.0
Tarapac¨¢ ,-0.1731360078411476,-0.013629105188456699,-0.06385711115644807,-0.05177998432160212,-0.11146166617928678,-0.139428391572242,0.18425334724378128,0.11151428367948318,-0.03358566394544714,-0.19671615750615243,-0.48782645678751835,6.0
Antofagasta ,-0.023721573038632635,-0.2105976457602635,-0.07557300685499291,0.003949269498521684,-0.06677167318318468,0.3678875823752335,0.12646039862682817,0.436016317023459,0.19744360186758425,0.07666574678134529,0.8317590173358983,4.0
Atacama ,-0.31508909436516436,-0.3400569592133308,-0.1889000368097483,-0.20330890911642596,-0.41583067897468684,-0.0597476713415379,-0.32361744900332806,-0.14997990013120305,0.05497874187575138,-0.15698392563366426,-2.098535882713338,11.0
Coquimbo ,-0.25091586929040033,0.09187289734376951,-0.1285600805450175,0.049328711784479354,-0.21758114088479605,-0.3278875154021233,-0.29600347292020374,-0.2715696673773727,0.12813256516930357,-0.040475263576352935,-1.2636588356987142,7.0
Valpara¨ªso,0.6923634217979793,0.1745144764810453,0.24981388304197527,0.40519581186921655,0.38012663560739346,0.33916973218890173,0.17760295377041357,0.04751437887796945,-0.06126897305874624,0.05899858973709071,2.464030910313239,2.0
Metropolitana,2.5051901563882257,0.5123197745010933,1.2452444350361778,1.0132562008608226,1.2315139369529677,1.7937413667840847,2.2085161502832573,1.618444309616279,0.6725499611759383,0.6471895207544913,13.447965812353338,1.0
O'Higgins ,-0.5716468043596572,-0.12272793919408652,-0.13853780586523826,-0.3187356540742984,-0.2950405528935078,-0.3192374280891887,-0.4151011916526902,-0.06456102725873647,-0.18492019304998647,-0.05355942623338624,-2.484068022670776,13.0
Maule ,-0.4769019982603105,-0.14582958833582016,-0.22719307444686015,-0.24221271427234917,-0.24041580275870703,-0.4947209161810407,-0.27922842394417074,-0.30591211902752957,-0.11438044850345053,-0.006078724617148031,-2.5328738103473865,14.0
Biob¨ªo ,0.31295377618373943,-0.2593541082893697,0.1387327498301696,-0.09658637996062602,0.019311435177936664,-0.04446432720235504,0.4534888928890839,-0.07123528965471032,-0.08729220552745333,0.07922993433792361,0.4447844777843387,5.0
Araucan¨ªa ,-0.5109145862031413,-0.33040328319482065,-0.15992251223557022,0.004307001702115874,-0.06766097437937826,-0.4020729879628983,0.026774133589888005,-0.3235010694296915,0.013958240020287959,0.05215361647804591,-1.6972824216151625,9.0
Los R¨ªos ,-0.2944716739801006,0.04512449173607612,-0.24596402835150966,-0.08630667078559283,-0.33372290919038156,-0.3819475309396186,-0.42361973082231275,-0.31656538949429647,-0.131099339904856,-0.07048814299759773,-2.2390609247301905,12.0
Los Lagos ,0.2049690987529731,0.5774254535944046,0.25460252189170657,0.25476641721023496,0.5655719434489381,-0.12740354863185638,-0.20920587508723662,-0.03884004521330446,-0.03218531196803897,0.18497047282622797,1.634671126824049,3.0
Ays¨¦n ,-0.44157398770640777,-0.01231763545355916,-0.2537317177415677,-0.42240162975258994,-0.46518923037422294,-0.30259388306362794,-0.32288769410151474,-0.2101617170371684,-0.08869761281842428,-0.26115047141383874,-2.780705579462922,15.0
Magallanes y Ant¨¢rtica ,-0.24115282967900994,-0.05039479026534244,-0.17871384615437258,-0.16737923541845803,-0.057578748023488176,0.31826758563533675,-0.47582511076660744,-0.2421995273380782,-0.20618478915785465,-0.12039785736016542,-1.42155914852804,8.0
